Soil Moisture,Temperature,Decline in Soil Moisture
60.0, 20.0, 0.8
59.5, 21.5, 0.9
59.0, 22.5, 0.85
58.5, 23.0, 0.82
58.0, 24.5, 0.95
57.5, 25.5, 1.0
57.0, 26.0, 0.88
56.5, 27.5, 0.97
56.0, 28.0, 0.89
55.5, 29.5, 0.81
55.0, 30.0, 0.96
54.5, 31.5, 0.84
54.0, 32.0, 0.93
53.5, 33.5, 0.78
53.0, 34.0, 0.87
52.5, 35.5, 0.98
52.0, 36.0, 0.86
51.5, 37.5, 0.92
51.0, 38.0, 1.05
50.5, 39.5, 0.79
50.0, 40.0, 0.91
49.5, 41.0, 0.75
49.0, 42.5, 0.85
48.5, 43.0, 1.08
48.0, 44.5, 1.2
47.5, 45.0, 0.78
47.0, 46.0, 1.1
46.5, 47.0, 0.73
46.0, 47.5, 0.84
45.5, 48.0, 0.97
45.0, 49.5, 1.3
44.5, 50.0, 0.72
44.0, 51.0, 0.88
43.5, 51.5, 0.75
43.0, 52.0, 0.83
42.5, 53.5, 0.96
42.0, 54.0, 1.35
41.5, 54.5, 0.71
41.0, 55.0, 0.85
40.5, 56.5, 0.7
40.0, 57.0, 0.81
